Ogrid,Name,Well Count,Inactive Wells,5.9 Compliance
2832,BRIDWELL OIL CO,5,0,Yes
370457,"BRIGADE SERVICES, LLC",,,
163160,BRIGHAM OIL & GAS LP,,,
2840,BRIGHT & CO,,,
2894,BRISTOL RESOURCES CORP,,,
49068,BRISTOL RESOURCES CORPORATION,,,
49096,BRITISH AMERICAN OIL PRODUCING CO,,,
309384,BROKEN ARROW SWD LLC,,,
2915,BROKEN HILLS PETROLEUM,,,
2927,BROOKS EXPLORATION INC,,,
2936,BROTHERS PROD CO INC,,,
209027,"BROWER OIL & GAS CO., INC",,,
253942,"BROWN ACRES, INC.",,,
142316,"BROWNING OIL COMPANY, INC.",,,
199585,"BROWNLIE,WALLACE & ARMSTRONG",,,
2948,BRUCE A WILBANKS,,,
